ID_TRANSMISION,FECHA,NOMBRE_COMPLETO,IDIOMA,PATROCINADO,RANGO,MODOS_JUEGOS,GENEROS_JUEGOS,CATEGORIAS_JUEGOS,JUEGOS,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES
ID_TRANS_000047,2022-09-07,KeitaroTime,English,Con Patrocinador,Novato,"Multijugador Local, en Línea",Otros,Lucha,Super Smash Bros. Ultimate,41670,453,19038600,337638,52757
ID_TRANS_000046,2022-09-07,POW3Rtv,Italian,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,184740,3732,725311140,24393197,1154352
ID_TRANS_000049,2022-09-07,Vendetta_sc,Russian,Con Patrocinador,Aficionado,Multijugador en Línea,Cartas,Juegos de Cartas,Gwent: The Witcher Card Game,93150,136,12633525,431304,5466
ID_TRANS_000062,2022-09-08,pubgmobileES,Spanish,Con Patrocinador,Aficionado,Multijugador en Línea,Acción,Battle Royale,PUBG Mobile,21285,650,14003340,1412174,19993
ID_TRANS_000066,2022-09-08,RubenDeRonde,English,Con Patrocinador,Aficionado,Interactivo,Música,Música,Music,25425,718,23218635,7575136,16160
ID_TRANS_000065,2022-09-08,Punz,English,Con Patrocinador,Experto,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Minecraft,44100,815,55297650,1023764,178639
ID_TRANS_000063,2022-09-08,kanagangtv,English,Con Patrocinador,Aficionado,Transmisión en Vivo,Variado,Variado,Just Chatting,30030,284,9102690,283883,14591
ID_TRANS_000061,2022-09-08,DizzyKitten,English,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,80550,1681,136007340,8919883,629162
ID_TRANS_000064,2022-09-08,Feelink,Spanish,Con Patrocinador,Avanzado,Multijugador en Línea,Cartas,Juegos de Cartas,Hearthstone,44925,662,30897075,800339,78388
ID_TRANS_000059,2022-09-08,Focus,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Battle Royale,Fortnite,100710,85,9306540,542855,29513
ID_TRANS_000058,2022-09-08,BobbyPoffGaming,English,Con Patrocinador,Avanzado,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,231990,1384,338734635,2420928,141788
ID_TRANS_000060,2022-09-08,BadeschlappenLP,German,Con Patrocinador,Experto,Un jugador,Simulación,Simulación/Gestión,Football Manager 2020,96240,518,51665640,743754,163114
ID_TRANS_000057,2022-09-08,Shonzo,English,Con Patrocinador,Novato,Interactivo,Otros,Arte,Art,123315,102,12733485,252031,37035
ID_TRANS_000056,2022-09-08,Artesio,French,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,The Elder Scrolls Online,107535,159,20538855,992671,7087
ID_TRANS_000076,2022-09-09,GeeOhmTV,French,Con Patrocinador,Aficionado,Un jugador,RPG,RPG,Bleach: Brave Souls,114840,95,10740690,219285,10690
ID_TRANS_000075,2022-09-09,지니어스매드 (genius_mad),Korean,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,RPG,Path of Exile,136875,358,49366665,2115865,13973
ID_TRANS_000074,2022-09-09,SkipNhO,Portuguese,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,140145,4051,606322560,15008051,1125122
ID_TRANS_000073,2022-09-09,luxxbunny,English,Con Patrocinador,Experto,Multijugador en Línea,Estrategia,MOBA,League of Legends,76200,269,23135910,994274,173731
ID_TRANS_000072,2022-09-09,APlatypuss,English,Con Patrocinador,Avanzado,"Un jugador, Multijugador en Línea",Acción,Disparos/FPS,Destiny 2,85890,116,11065845,758590,65993
ID_TRANS_000070,2022-09-09,yowatchmewin,Italian,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Cartas,Juegos de Cartas,Poker,74115,211,15693360,275983,8544
ID_TRANS_000069,2022-09-09,TheRealMarzaa,Italian,Con Patrocinador,Experto,Multijugador en Línea,Acción,Battle Royale,Fortnite,93045,1658,157014405,3036560,551735
ID_TRANS_000068,2022-09-09,Norby,French,Con Patrocinador,Novato,Multijugador en Línea,Acción,Battle Royale,Fortnite,133155,139,19510485,360163,48393
ID_TRANS_000067,2022-09-09,Chachatoy,French,Con Patrocinador,Novato,Multijugador en Línea,Estrategia,MOBA,League of Legends,114045,93,11545410,1433750,25463
ID_TRANS_000071,2022-09-09,SirSalty,English,Con Patrocinador,Aficionado,Multijugador en Línea,Cartas,Juegos de Cartas,Hearthstone,48375,373,19726200,419489,8630
ID_TRANS_000081,2022-09-10,Khaldor,English,Con Patrocinador,Avanzado,Multijugador en Línea,Estrategia,MOBA,Heroes of the Storm,61305,536,37531200,866304,102280
ID_TRANS_000082,2022-09-10,쫀지 (rozh3600),Korean,Sin Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,LOST ARK,142755,132,18600795,496447,4404
ID_TRANS_000080,2022-09-10,Gaston,Spanish,Con Patrocinador,Avanzado,Multijugador en Línea,Acción,Battle Royale,Fortnite,51615,443,22082685,841975,92428
ID_TRANS_000077,2022-09-10,ProgettoGaming,Italian,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,ARK: Survival Evolved,141615,64,9581190,1137211,7785
ID_TRANS_000078,2022-09-10,GuilleGiles,Spanish,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,20235,1351,21196650,955346,117196
ID_TRANS_000079,2022-09-10,coscu,Spanish,Con Patrocinador,Experto,Multijugador en Línea,Estrategia,MOBA,League of Legends,80520,10202,717634035,22695224,2132571
ID_TRANS_000083,2022-09-11,LillyVinnily,English,Con Patrocinador,Novato,Transmisión en Vivo,Variado,Variado,Just Chatting,53730,174,9411060,247478,30908
ID_TRANS_000084,2022-09-11,VorticoseLine75,English,Con Patrocinador,Novato,Multijugador en Línea,RPG,MMORPG de Acción,Warframe,123165,214,27827025,587415,25543
ID_TRANS_000085,2022-09-11,tonkaaaaP,English,Con Patrocinador,Avanzado,"Un jugador, Multijugador en Línea",Cartas,Juegos de Cartas,Poker,4305,3079,13436895,259876,104533
ID_TRANS_000086,2022-09-11,yoslayer0,Spanish,Con Patrocinador,Novato,Multijugador en Línea,Acción,Battle Royale,Fortnite,20430,445,9567840,122194,36406
ID_TRANS_000087,2022-09-11,neeko,English,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,45900,1011,36931875,3232948,270543
ID_TRANS_000099,2022-09-12,Bonjwa,German,Con Patrocinador,Avanzado,Variado,Variado,Variado,Unlisted on Twitch,254580,1882,498938310,13966704,126298
ID_TRANS_000098,2022-09-12,xandfps,Portuguese,Con Patrocinador,Avanzado,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,66480,684,47896320,1343510,74217
ID_TRANS_000097,2022-09-12,Apocalypto_12,English,Con Patrocinador,Avanzado,Multijugador en Línea,Otros,Casual/Minijuegos,Marbles On Stream,68355,196,15697515,432584,72690
ID_TRANS_000096,2022-09-12,ryux,Spanish,Con Patrocinador,Experto,Multijugador en Línea,Acción,Battle Royale,Fortnite,117495,611,77725980,2724370,382236
ID_TRANS_000094,2022-09-12,쉐리 (kss7749),Korean,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,97560,2371,252974775,6440917,172045
ID_TRANS_000095,2022-09-12,DreamHackCS,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,236535,5957,868180170,24193613,1814756
ID_TRANS_000092,2022-09-12,FrostPrime_,English,Con Patrocinador,Novato,Multijugador en Línea,Estrategia,MOBA,League of Legends,102330,189,20255580,391505,52269
ID_TRANS_000091,2022-09-12,쏘담냥 (sso_dam),Korean,Con Patrocinador,Novato,Transmisión en Vivo,Variado,Variado,Just Chatting,114015,138,16249860,1246989,31051
ID_TRANS_000090,2022-09-12,Blizy,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,54405,110,12019920,257116,38454
ID_TRANS_000089,2022-09-12,Dex_tv,Italian,Con Patrocinador,Avanzado,"Un jugador, Multijugador en Línea",Deporte,Deportes,FIFA 20,138990,423,62516415,759153,68472
