FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-28,CyberLiveArena4,English,Aficionado,279645,172,53643900,8265322,9356,NBA 2K20
2022-09-28,Monagua,Portuguese,Novato,96990,355,30462210,666097,27985,Summoners War: Sky Arena
2022-09-28,Yekais,French,Novato,39945,294,13241565,252406,40697,Just Chatting
2022-09-28,Wolfabelle,English,Novato,66330,215,20480505,776646,44910,Just Chatting
2022-09-28,KarmaDoc,Spanish,Aficionado,109035,183,20442870,1688756,9658,Stardew Valley
2022-09-28,CapcomFighters,English,Experto,23925,5345,187067085,14495910,354351,Street Fighter V
2022-09-28,UrbanOrder,English,Aficionado,392760,51,20026770,821271,9238,Music
2022-09-28,m4dshaw,Russian,Novato,139680,381,52010835,3003558,36570,PLAYERUNKNOWN
2022-09-28,BlitzStream,French,Novato,74310,627,48086010,3728569,30960,Chess
2022-09-28,nenem_xd,Portuguese,Aficionado,41415,490,22620300,1184752,22098,Tibia
2022-09-28,Foxtrot92th,Russian,Novato,82020,212,18122640,309374,45715,Grand Theft Auto V
2022-09-29,홍방장 (game2eye),Korean,Experto,119310,1757,224441955,6222275,185065,The Long Dark
2022-09-29,Xynode,English,Aficionado,34695,568,20164680,3817978,18701,The Elder Scrolls Online
2022-09-29,Fairlight_Excalibur,English,Experto,173715,1213,212677695,1659444,407081,Grand Theft Auto V
2022-09-29,SwelteringMuffin,English,Aficionado,166770,151,24305490,1011401,6773,League of Legends
2022-09-29,Kronovi,English,Experto,9465,996,10298055,258825,278669,Rocket League
2022-09-29,amante_cod,Italian,Novato,48165,257,13173045,821394,40836,Call Of Duty: Modern Warfare
2022-09-29,Carreraaa,Spanish,Experto,37455,2076,86059125,2585008,365390,Just Chatting
2022-09-29,Maniac_3D,Spanish,Aficionado,168600,146,27148785,3227028,9503,Black Desert Online
2022-09-29,Back2Warcraft,German,Avanzado,87975,1781,167550165,3882050,96639,Warcraft III
2022-09-29,Monagua,Portuguese,Novato,96990,355,30462210,666097,27985,Summoners War: Sky Arena
2022-09-30,Bummacs,Italian,Avanzado,24435,358,9291450,134705,62366,Tom Clancy
2022-09-30,DOTA2EZ25,Russian,Novato,55995,193,11283645,651873,35499,Dota 2
2022-09-30,spkanepex,English,Aficionado,18150,593,16824390,1094980,7337,Unlisted on Twitch
2022-09-30,Seum,English,Avanzado,60270,247,16223190,919536,70503,Animal Crossing: New Horizons
2022-09-30,UnRooolie,English,Avanzado,90930,317,33836760,3386506,60372,Call Of Duty: Modern Warfare
2022-09-30,스테로이드_ (stero2d),Korean,Aficionado,150180,194,30353010,702453,8348,Path of Exile
2022-09-30,andravix,French,Aficionado,334950,31,11046000,80876,3998,Music
2022-09-30,horoowolf,Spanish,Aficionado,97125,150,15052620,408890,6663,Black Desert Online
2022-09-30,Rhykker,English,Avanzado,54720,451,24127680,794511,116879,Diablo III
2022-09-30,Sinedd92,Russian,Avanzado,88365,1149,101492745,5460656,78801,Hearthstone
2022-09-30,XiiiOliver,Portuguese,Aficionado,129570,190,26906865,163422,4098,Just Chatting
2022-10-01,pescocofino,Portuguese,Experto,121050,780,85404765,2768637,274061,Just Chatting
2022-10-01,Kwitty23,English,Novato,124545,409,51526590,3960598,58781,Dark Souls III
2022-10-01,P4wnyhof,English,Experto,182670,1279,234622395,7326999,491272,Call Of Duty: Modern Warfare
2022-10-01,EinQuantumPro,German,Novato,112440,198,23080995,3051334,54455,Fallout 76
2022-10-01,Llobeti4,Spanish,Experto,115320,4478,525943125,13296707,840871,Fortnite
2022-10-01,가이코 (pymyp2288),Korean,Novato,83325,133,10997835,325692,43095,Just Chatting
2022-10-01,ARSARTone,Russian,Novato,80310,155,13221045,693492,54265,Counter-Strike: Global Offensive
2022-10-01,Pixlriffs,English,Avanzado,25350,620,15748275,388920,82588,Minecraft
2022-10-01,TrymacsKaktusKoenig,German,Avanzado,76635,438,32802810,470949,70534,Unlisted on Twitch
2022-10-01,AxeelFN,Spanish,Avanzado,71400,343,29351700,1369127,131663,Fortnite
2022-10-02,Elesky25,Spanish,Novato,47385,426,20808435,1647017,57206,Music
2022-10-02,숲의샤리네 (silversigle),Korean,Aficionado,124905,176,23996250,617283,5905,LOST ARK
2022-10-02,Plalism,English,Experto,70215,1012,72987855,1508251,262246,Fortnite
2022-10-02,Antrax,Spanish,Experto,8895,860,11870535,363480,220386,Just Chatting
2022-10-02,CripsyTV,English,Novato,89325,160,14868810,171503,28540,FIFA 20
2022-10-02,litahry,English,Novato,36540,290,12043110,808173,37682,Just Chatting
2022-10-02,Anfieldw,English,Novato,105240,122,14635755,417242,37506,Black Desert Online
2022-10-02,Mirza_Jahic,German,Experto,52815,1454,79636935,2769865,176972,FIFA 20
2022-10-02,Kosuke,French,Novato,61155,218,13370130,280385,36101,Dead by Daylight
2022-10-02,PokerStaples247,English,Aficionado,519000,16,8944605,194215,11712,Poker
2022-10-02,Loserfruit,English,Experto,102990,2202,259639065,12999027,2017326,Fortnite
2022-10-03,GuhRL,English,Novato,155475,175,27761550,826162,49580,Apex Legends
2022-10-03,jukes,Portuguese,Experto,83175,8233,684989805,21108143,1386460,League of Legends
2022-10-03,Anil,French,Experto,13500,594,10382400,924472,170749,Rogue Company
2022-10-03,FustyLugsVR,English,Aficionado,87150,123,10885050,226344,18362,VRChat
2022-10-03,ProdigyAcess,English,Novato,159390,70,15433605,346528,54600,Apex Legends
2022-10-03,CooLifeGame,Spanish,Experto,75210,4167,333277155,10172899,417856,Grand Theft Auto V
2022-10-03,imfrosk,English,Novato,9615,1134,10457910,324428,37915,League of Legends
2022-10-03,iainLee,English,Aficionado,29295,370,13128285,956322,11585,Just Chatting
2022-10-04,esl_asia,English,Aficionado,11790,1922,19779450,1019008,18076,Dota 2
2022-10-04,GAECHKATM,Russian,Avanzado,44220,1153,37811100,2437561,128643,Just Chatting
2022-10-04,견자희 (wkgml),Korean,Experto,80430,2338,186251700,6685621,436181,Just Chatting
2022-10-04,chusommontero,Spanish,Novato,50265,577,32147955,1570684,35049,Dark Souls
2022-10-04,LSV,English,Avanzado,17280,1520,28204605,445963,73755,Magic: The Gathering
2022-10-04,lucascharmoso,Portuguese,Experto,30435,1763,56122590,1674666,285464,League of Legends
2022-10-04,Aplfisher,English,Avanzado,89955,198,18049755,321587,89534,Just Chatting
2022-10-04,HermanLi,English,Avanzado,26775,751,21623010,2121759,139521,Music
2022-10-04,Potxeca,French,Novato,31500,484,17645820,512331,45257,Overwatch
