FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-23,Llobeti4,Spanish,Experto,115320,4478,525943125,13296707,840871,Fortnite
2022-09-23,Pepper,German,Avanzado,42495,239,10782615,404675,86390,Fortnite
2022-09-23,Squillakilla,English,Avanzado,87930,818,71629035,1351172,140871,Dark Souls III
2022-09-23,Nemz38,English,Novato,14640,1170,17217240,375182,56695,Dark Souls III
2022-09-24,artcsgo,Portuguese,Avanzado,9660,1399,13447875,557195,85314,Counter-Strike: Global Offensive
2022-09-24,Andarilhoo,Portuguese,Avanzado,79215,360,28650420,1245793,87478,SCUM
2022-09-24,ChillhopMusic,English,Aficionado,512490,26,14054940,131948,17653,Music
2022-09-24,dereknlmb,English,Avanzado,77220,332,26650620,435761,83669,Fortnite
2022-09-24,TarmacBE,French,Aficionado,98430,104,9595680,1903695,20504,League of Legends
2022-09-24,Phyzikk,French,Avanzado,48645,435,22404825,287040,66706,Call Of Duty: Modern Warfare
2022-09-24,곰캐스트 (pdgom),Korean,Aficionado,88875,137,12517500,393200,5937,World of Warcraft
2022-09-24,GAECHKATM,Russian,Avanzado,44220,1153,37811100,2437561,128643,Just Chatting
2022-09-24,연초봄 (yeonchobom),Korean,Avanzado,20610,548,11907675,605570,62070,Just Chatting
2022-09-25,JaggerPrincesa,Spanish,Novato,18720,445,9161565,411739,56756,Just Chatting
2022-09-25,TheDevilDogGamer,English,Experto,76860,763,122155155,851138,230892,Escape From Tarkov
2022-09-25,dogdog,English,Experto,104505,5637,606859140,12750103,598106,Hearthstone
2022-09-25,서농_ (snsn__),Korean,Novato,87810,201,18465270,328833,30904,Just Chatting
2022-09-25,miikag_,Portuguese,Aficionado,34320,284,9606000,118652,24437,Grand Theft Auto V
2022-09-25,BenZaie,French,Experto,39120,1028,40854930,1706487,193770,Final Fantasy VII Remake
2022-09-25,리크리에이터 (rogoer),Korean,Aficionado,90120,305,27277755,536123,6182,Princess Connect! Re:Dive
2022-09-25,Veronesiii,Portuguese,Aficionado,44115,412,20916315,383511,25019,Grand Theft Auto V
2022-09-25,쥬짱_ (zoozzang),Korean,Novato,67125,273,15016245,1020309,36735,Just Chatting
2022-09-25,PAX,English,Avanzado,18075,794,11337540,1128513,111617,Special Events
2022-09-25,공룡_ (rulrudino),Korean,Avanzado,14820,674,10865730,228530,79709,Just Chatting
2022-09-25,Ninja614,English,Novato,82125,331,29566515,913541,33212,The Elder Scrolls Online
2022-09-26,순이__ (tkdtn307),Korean,Novato,47160,1007,47783925,1016012,30437,Hearthstone
2022-09-26,stormen,English,Experto,91080,849,78107160,2308321,363365,Apex Legends
2022-09-26,feefa_,Portuguese,Avanzado,86895,130,12111900,504690,91447,League of Legends
2022-09-26,Robfortes,Portuguese,Avanzado,65715,585,39483945,341990,69561,FIFA 20
2022-09-26,theuzikat,Portuguese,Aficionado,32070,309,10202025,457557,11454,Tibia
2022-09-26,CRIIIZUX,Spanish,Novato,34365,252,11585205,467262,51799,Fortnite
2022-09-26,FenoHS,English,Novato,89475,618,58728240,1227682,47537,Hearthstone
2022-09-27,TruthMusic,English,Novato,293145,81,23084850,527552,29912,Music
2022-09-27,Danytlaw,English,Aficionado,61980,185,11186010,403434,5000,Magic: The Gathering
2022-09-27,rztlive,Portuguese,Aficionado,105225,120,14736270,493353,8643,Fortnite
2022-09-27,sigul_universe,Russian,Aficionado,54210,191,12402810,1444450,5945,Dota 2
2022-09-27,deviiiiiiiiii,English,Novato,41370,196,9173295,194537,35236,Apex Legends
2022-09-28,UIM_Verf,English,Novato,71790,168,12354705,308437,25529,Old School RuneScape
2022-09-28,brodie,English,Novato,101010,348,36465960,2027601,55305,Just Chatting
2022-09-28,CastCrafter,German,Avanzado,39105,264,11131215,259923,71994,Minecraft
2022-09-28,Ginyin,Spanish,Novato,91770,444,46745580,4821700,41244,League of Legends
2022-09-28,Byzic,English,Avanzado,52185,488,26061285,653367,107784,Fortnite
2022-09-28,reyozftn,French,Avanzado,35865,499,17452545,346531,100596,Fortnite
2022-09-29,M1NDR,English,Avanzado,86430,234,21411750,460433,86581,DayZ
2022-09-29,Deepshades,English,Novato,39765,356,13088625,547744,56210,World of Warcraft
2022-09-29,RunningMan,English,Aficionado,132735,111,15494610,175730,16792,Dead by Daylight
2022-09-29,Dirty,English,Avanzado,76785,149,12681120,232235,134121,Call Of Duty: Modern Warfare
2022-09-29,Machete_Vilches,Spanish,Avanzado,56595,323,18048930,277085,63239,Fortnite
2022-09-29,Ziqoftw,English,Experto,82875,1097,95706240,3004021,201693,World of Warcraft
2022-09-30,LOST,German,Avanzado,75270,912,71784810,2098273,142475,Call Of Duty: Modern Warfare
2022-09-30,S00Dl,Russian,Aficionado,106545,313,36054180,1170997,16477,Dota 2
2022-09-30,Libe,French,Avanzado,27585,688,21411255,612031,94063,Minecraft
2022-09-30,Woodszin,Portuguese,Avanzado,22965,389,10367460,441284,138597,Just Chatting
2022-09-30,oKINGBR,Portuguese,Experto,80025,1632,140732775,4526208,327524,Fortnite
2022-09-30,Moondye7,German,Experto,99720,2642,278021010,6184735,309951,Escape From Tarkov
2022-09-30,CarritosKami,Spanish,Experto,105240,1635,156619035,6679665,166547,League of Legends
2022-10-01,Scarface,German,Novato,34170,320,10208550,310252,53835,League of Legends
2022-10-01,SweetChinMusig8,Italian,Aficionado,58935,176,11109630,631695,15321,NBA 2K20
2022-10-01,Corobizar,French,Experto,78165,1806,146382810,4160119,280927,League of Legends
2022-10-01,ItsSky,English,Experto,83445,529,45948885,1957190,224133,Fortnite
2022-10-01,daltoosh,English,Experto,157350,2252,357200865,4260134,268903,Apex Legends
2022-10-01,GamesDoneQuick,English,Experto,88905,7953,2071889070,48902643,1752109,Unlisted on Twitch
2022-10-02,synthwavebeats,English,Aficionado,216750,98,21501675,37677,3639,Music
2022-10-02,Unorthodogg,English,Aficionado,59985,261,19255095,197780,10808,Don
2022-10-02,ImTedious,English,Aficionado,69330,134,10068000,176813,10320,Old School RuneScape
2022-10-02,HealthyGamer_GG,English,Experto,19995,6205,134093775,3307726,390246,Just Chatting
2022-10-02,FelipeMojave,Portuguese,Aficionado,61095,307,19488840,2215310,19233,Poker
2022-10-02,CRACKHEBER,Spanish,Aficionado,52455,248,14048955,164831,20661,FIFA 20
2022-10-03,AutolykusLoL,English,Aficionado,124740,169,20837205,78618,14025,League of Legends
2022-10-03,LowkoTV,English,Avanzado,103680,517,54170745,1596280,141121,StarCraft II
2022-10-03,TopGamersAcademy,Spanish,Experto,20745,2674,84779145,3825426,266044,Just Chatting
2022-10-03,keznit1,Spanish,Aficionado,43335,236,11333355,517020,21082,Counter-Strike: Global Offensive
2022-10-03,Paxelol,Spanish,Novato,13545,889,13203510,219584,28439,World of Warcraft
2022-10-03,AzoX360,French,Avanzado,93825,242,32134020,988530,72587,VALORANT
2022-10-03,AZ_Axe,English,Avanzado,43515,274,12151950,275810,69475,Super Smash Bros. Melee
2022-10-03,Alex007SC2,Russian,Aficionado,7410,1403,12381315,412856,18158,StarCraft II
